"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance","Description","Notes"
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000612 Current.tif","Tree: Mountain Laurel","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000632 Current.tif","Tree: Eastern Larch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000633 Current.tif","Tree: Subalpine Larch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000634 Current.tif","Tree: Western Larch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000696 Current.tif","Tree: Cucumber Tree","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000709 Current.tif","Tree: Umbrella Magnolia","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000726 Current.tif","Tree: Pacific Crab Apple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000755 Current.tif","Tree: Black Tupelo","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000762 Current.tif","Tree: Sorrel Tree","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000792 Current.tif","Tree: Brewer Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000793 Current.tif","Tree: Engelmann Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000794 Current.tif","Tree: White Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000796 Current.tif","Tree: Black Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000799 Current.tif","Tree: Blue Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000801 Current.tif","Tree: Red Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000802 Current.tif","Tree: Sitka Spruce","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000808 Current.tif","Tree: Whitebark Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000809 Current.tif","Tree: Rocky Mountain Bristlecone Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000816 Current.tif","Tree: Singleleaf Pinyon","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000817 Current.tif","Tree: Lodgepole Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000822 Current.tif","Tree: Limber Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000825 Current.tif","Tree: Western White Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000835 Current.tif","Tree: Ponderosa Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000861 Current.tif","Tree: Balsam Poplar","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000866 Current.tif","Tree: Largetooth Aspen","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000871 Current.tif","Tree: Trembling Aspen","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000889 Current.tif","Tree: Bitter Cherry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000897 Current.tif","Tree: Canada Plum","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000902 Current.tif","Tree: Black Cherry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000942 Current.tif","Tree: Scarlet Oak","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000951 Current.tif","Tree: Bur Oak","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000963 Current.tif","Tree: Red Oak","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000985 Current.tif","Tree: Mountain Rosebay","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001000 Current.tif","Tree: Great Rhododendron","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001025 Current.tif","Tree: Scarlet Sumac","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001027 Current.tif","Tree: Staghorn Sumac","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001060 Current.tif","Tree: Feltleaf Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001067 Current.tif","Tree: Littletree Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001069 Current.tif","Tree: Beaked Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001073 Current.tif","Tree: Pussy Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001082 Current.tif","Tree: Coastal Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001089 Current.tif","Tree: Black Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001090 Current.tif","Tree: Thickleaf Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001093 Current.tif","Tree: Mackenzie's Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001097 Current.tif","Tree: Mountain Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001098 Current.tif","Tree: Sitka Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001103 Current.tif","Tree: Common Elderberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001116 Current.tif","Tree: White Sassafrass","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001123 Current.tif","Tree: Giant Sequoia","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001136 Current.tif","Tree: American Mountain Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001141 Current.tif","Tree: Showy Mountain Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001144 Current.tif","Tree: Sitka Mountain Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001173 Current.tif","Tree: Mountain Camellia","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001210 Current.tif","Tree: Pacific Yew","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001211 Current.tif","Tree: Canada Yew","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001217 Current.tif","Tree: Eastern White Cedar","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001219 Current.tif","Tree: Western Red Cedar","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001240 Current.tif","Tree: Eastern Hemlock","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001241 Current.tif","Tree: Carolina Hemlock","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001243 Current.tif","Tree: Western Hemlock","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001244 Current.tif","Tree: Mountain Hemlock","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001246 Current.tif","Tree: American Elm","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1001499 Current.tif","Tree: Big Sagebrush","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1003671 Current.tif","Tree: Jack Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1003679 Current.tif","Tree: Tulip Tree","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004133 Current.tif","Tree: Yellow Birch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004241 Current.tif","Tree: Kentucky Yellowwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004452 Current.tif","Tree: Peachleaf Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004466 Current.tif","Tree: Rocky Mountain Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004631 Current.tif","Tree: Water Birch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004635 Current.tif","Tree: Beaked Hazelnut","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004757 Current.tif","Tree: Roundleaf Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1004895 Current.tif","Tree: American Basswood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005023 Current.tif","Tree: Inland Serviceberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005052 Current.tif","Tree: Choke Cherry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005076 Current.tif","Tree: Shining Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005080 Current.tif","Tree: Slender Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005081 Current.tif","Tree: Blasam Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005157 Current.tif","Tree: Yellow Cypress","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005159 Current.tif","Tree: Douglas Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005371 Current.tif","Tree: Highbush Cranberry","Greens","continuous","","km2*","FALSE","missing","",""
