Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Status,Provenance,Description,Notes
theme,Future climate space,yale_4/Birds/Bird Species Distribution BRCR rcp45 2071-2100.tif,Bird future: Brown Creeper,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BTNW rcp45 2071-2100.tif,Bird future: Black-throated Green Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BTPI rcp45 2071-2100.tif,Bird future: Band-tailed Pigeon,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BUFF rcp45 2071-2100.tif,Bird future: Bufflehead,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BUOR rcp45 2071-2100.tif,Bird future: Bullock's Oriole,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BUSH rcp45 2071-2100.tif,Bird future: Bushtit,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BWHA rcp45 2071-2100.tif,Bird future: Broad-winged Hawk,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BWTE rcp45 2071-2100.tif,Bird future: Blue-winged Teal,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CAFI rcp45 2071-2100.tif,Bird future: Cassin's Finch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CAHU rcp45 2071-2100.tif,Bird future: Calliope Hummingbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CAQU rcp45 2071-2100.tif,Bird future: California Quail,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CAVI rcp45 2071-2100.tif,Bird future: Cassin's Vireo,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CAWA rcp45 2071-2100.tif,Bird future: Canada Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CBCH rcp45 2071-2100.tif,Bird future: Chestnut-backed Chickadee,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CCSP rcp45 2071-2100.tif,Bird future: Clay-colored Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CHSP rcp45 2071-2100.tif,Bird future: Chipping Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CITE rcp45 2071-2100.tif,Bird future: Cinnamon Teal,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CLNU rcp45 2071-2100.tif,Bird future: Clark's Nutcracker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CLSW rcp45 2071-2100.tif,Bird future: Cliff Swallow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CMWA rcp45 2071-2100.tif,Bird future: Cape May Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COGO rcp45 2071-2100.tif,Bird future: Common Goldeneye,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COGR rcp45 2071-2100.tif,Bird future: Common Grackle,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COHA rcp45 2071-2100.tif,Bird future: Cooper's Hawk,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COLO rcp45 2071-2100.tif,Bird future: Common Loon,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COME rcp45 2071-2100.tif,Bird future: Common Merganser,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CONI rcp45 2071-2100.tif,Bird future: Common Nighthawk,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COPO rcp45 2071-2100.tif,Bird future: Common Poorwill,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CORA rcp45 2071-2100.tif,Bird future: Common Raven,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution CORE rcp45 2071-2100.tif,Bird future: Common Redpoll,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution COYE rcp45 2071-2100.tif,Bird future: Common Yellowthroat,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution DEJU rcp45 2071-2100.tif,Bird future: Dark-eyed Junco,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution DOWO rcp45 2071-2100.tif,Bird future: Downy Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution DUFL rcp45 2071-2100.tif,Bird future: Dusky Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution DUGR rcp45 2071-2100.tif,Bird future: Dusky Grouse,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution EAGR rcp45 2071-2100.tif,Bird future: Eared Grebe,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution EAKI rcp45 2071-2100.tif,Bird future: Eastern Kingbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution EAPH rcp45 2071-2100.tif,Bird future: Eastern Phoebe,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution EUST rcp45 2071-2100.tif,Bird future: European Starling,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution EVGR rcp45 2071-2100.tif,Bird future: Evening Grosbeak,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution FOSP rcp45 2071-2100.tif,Bird future: Fox Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GADW rcp45 2071-2100.tif,Bird future: Gadwall,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GBHE rcp45 2071-2100.tif,Bird future: Great Blue Heron,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GCKI rcp45 2071-2100.tif,Bird future: Golden-crowned Kinglet,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GCRF rcp45 2071-2100.tif,Bird future: Gray-crowned Rosy-Finch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GCSP rcp45 2071-2100.tif,Bird future: Golden-crowned Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GCTH rcp45 2071-2100.tif,Bird future: Gray-cheeked Thrush,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GHOW rcp45 2071-2100.tif,Bird future: Great Horned Owl,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GOEA rcp45 2071-2100.tif,Bird future: Golden Eagle,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GRCA rcp45 2071-2100.tif,Bird future: Gray Catbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GRJA rcp45 2071-2100.tif,Bird future: Gray Jay,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GRYE rcp45 2071-2100.tif,Bird future: Greater Yellowlegs,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GWGU rcp45 2071-2100.tif,Bird future: Glaucous-winged Gull,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution GWTE rcp45 2071-2100.tif,Bird future: Green-winged Teal,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HADU rcp45 2071-2100.tif,Bird future: Harlequin Duck,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HAFL rcp45 2071-2100.tif,Bird future: Hammond's Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HAWO rcp45 2071-2100.tif,Bird future: Hairy Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HETH rcp45 2071-2100.tif,Bird future: Hermit Thrush,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOFI rcp45 2071-2100.tif,Bird future: House Finch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOGR rcp45 2071-2100.tif,Bird future: Horned Grebe,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOLA rcp45 2071-2100.tif,Bird future: Horned Lark,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOME rcp45 2071-2100.tif,Bird future: Hooded Merganser,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOSP rcp45 2071-2100.tif,Bird future: House Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HOWR rcp45 2071-2100.tif,Bird future: House Wren,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution HUVI rcp45 2071-2100.tif,Bird future: Hutton's Vireo,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution KILL rcp45 2071-2100.tif,Bird future: Killdeer,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LASP rcp45 2071-2100.tif,Bird future: Lark Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LBCU rcp45 2071-2100.tif,Bird future: Long-billed Curlew,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LCSP rcp45 2071-2100.tif,Bird future: Le Conte's Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LEFL rcp45 2071-2100.tif,Bird future: Least Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LESC rcp45 2071-2100.tif,Bird future: Lesser Scaup,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LEWO rcp45 2071-2100.tif,Bird future: Lewis's Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LEYE rcp45 2071-2100.tif,Bird future: Lesser Yellowlegs,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution LISP rcp45 2071-2100.tif,Bird future: Lincoln's Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MALL rcp45 2071-2100.tif,Bird future: Mallard,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MAMU rcp45 2071-2100.tif,Bird future: Marbled Murrelet,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MAWR rcp45 2071-2100.tif,Bird future: Marsh Wren,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MEGU rcp45 2071-2100.tif,Bird future: Mew Gull,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MERL rcp45 2071-2100.tif,Bird future: Merlin,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MOBL rcp45 2071-2100.tif,Bird future: Mountain Bluebird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MOCH rcp45 2071-2100.tif,Bird future: Mountain Chickadee,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MODO rcp45 2071-2100.tif,Bird future: Mourning Dove,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution MOWA rcp45 2071-2100.tif,Bird future: Mourning Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NAWA rcp45 2071-2100.tif,Bird future: Nashville Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOCR rcp45 2071-2100.tif,Bird future: Northwestern Crow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOFL rcp45 2071-2100.tif,Bird future: Northern Flicker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOGO rcp45 2071-2100.tif,Bird future: Northern Goshawk,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOHA rcp45 2071-2100.tif,Bird future: Northern Harrier,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOPI rcp45 2071-2100.tif,Bird future: Northern Pintail,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NOWA rcp45 2071-2100.tif,Bird future: Northern Waterthrush,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NRWS rcp45 2071-2100.tif,Bird future: Northern Rough-winged Swallow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution NSWO rcp45 2071-2100.tif,Bird future: Northern Saw-whet Owl,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution OCWA rcp45 2071-2100.tif,Bird future: Orange-crowned Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution OSFL rcp45 2071-2100.tif,Bird future: Olive-sided Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution OSPR rcp45 2071-2100.tif,Bird future: Osprey,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution OVEN rcp45 2071-2100.tif,Bird future: Ovenbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PAWA rcp45 2071-2100.tif,Bird future: Palm Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PAWR rcp45 2071-2100.tif,Bird future: Pacific Wren,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PBGR rcp45 2071-2100.tif,Bird future: Pied-billed Grebe,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PECO rcp45 2071-2100.tif,Bird future: Pelagic Cormorant,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PEFA rcp45 2071-2100.tif,Bird future: Peregrine Falcon,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PHVI rcp45 2071-2100.tif,Bird future: Philadelphia Vireo,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PIGR rcp45 2071-2100.tif,Bird future: Pine Grosbeak,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PIGU rcp45 2071-2100.tif,Bird future: Pigeon Guillemot,Blues,continuous,,km2*,FALSE,TRUE,missing,,
