Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Provenance,Description,Notes
weight,Human Footprint,weight/Human Footprint.tif,Human Footprint,Reds,continuous,missing,km2*,FALSE,missing,,
weight,Human Footprint,weight/Road Density (log).tif,Road Density,"#ffffff, #6b0022",continuous,missing,km2*,FALSE,missing,,
